bodyType,color,condition,drive,engineDisplacement,enginePower,equipment,fuelType,mileage,modelDate,name,numberOfDoors,owners,price,productionDate,rabber,technicalPassport,vehicleTransmission
1,1,2,2,2.0,249,1,2,45357,3,530i,4,1,2747000,1,0,1,1
1,1,2,2,3.0,258,1,1,172467,10,530d,4,2,1310000,8,0,1,1
3,2,2,1,1.6,136,1,2,193000,8,116i,5,3,520000,7,0,1,1
2,6,2,2,3.0,245,1,1,104153,9,30d,5,1,1759000,7,0,1,1
2,2,2,2,3.0,306,1,2,42100,5,35i,5,2,2749900,3,0,1,1
2,1,2,2,4.8,360,1,2,260000,16,внедорожник,5,3,420000,15,1,1,1
2,1,2,2,3.0,306,1,2,170000,12,35i,5,1,935000,11,0,1,1
1,5,2,1,4.0,286,1,2,230000,31,540i,4,3,350000,30,0,1,2
1,1,2,1,4.0,306,1,2,267000,14,740Li,4,3,512000,14,1,1,1
3,2,2,1,1.6,136,1,2,84000,8,116i,5,3,499000,6,0,1,1
2,11,2,2,4.4,575,1,2,88500,5,внедорожник,5,2,3690000,4,0,1,1
2,1,2,2,3.0,286,1,1,221300,13,внедорожник,5,1,810000,11,0,1,1
1,1,2,2,2.0,190,2,1,73000,3,520d,4,1,2500000,0,0,1,1
2,2,2,2,4.4,407,1,2,55468,12,50i,5,2,1100000,8,1,1,1
4,11,2,1,2.0,184,1,1,158000,11,320d,2,3,1000000,7,0,1,1
1,1,2,1,4.4,333,1,2,345000,18,745Li,4,3,380000,17,0,1,1
8,2,2,1,4.4,333,1,2,200000,16,645i,2,3,890000,14,0,1,1
1,3,2,2,2.0,245,2,2,110479,8,328i,4,3,1390000,6,0,1,1
1,6,2,2,3.0,272,1,2,220000,12,530xi,4,3,700000,12,0,1,1
2,1,2,2,2.0,184,1,2,95000,5,20i,5,1,1540000,4,0,1,1
4,2,2,1,1.5,136,1,2,33060,2,218i,2,1,1735000,1,0,1,1
1,1,2,2,4.4,407,1,2,245842,11,750Li,4,1,713000,9,0,1,1
2,3,3,2,2.0,192,4,2,157900,4,20i,5,1,1380000,4,0,1,1
3,5,2,1,1.6,136,1,2,167000,8,116i,5,3,590000,6,0,1,1
1,3,2,1,2.0,150,1,2,314000,24,520i,4,2,500000,22,0,1,1
8,1,2,1,2.0,249,1,2,53000,2,430i,2,1,2300000,2,0,1,1
1,1,2,1,3.0,258,1,2,312749,17,530i,4,3,587000,13,0,1,1
2,6,2,2,3.0,306,5,2,110000,9,35i,5,2,1150000,8,0,1,1
2,1,2,2,3.0,306,1,2,180000,9,35i,5,3,960000,9,0,1,1
2,4,2,2,3.0,245,5,1,150000,9,30d,5,2,1770000,8,0,1,1
1,1,2,1,6.0,445,1,2,194000,18,760Li,4,2,415000,15,0,1,1
3,2,2,1,1.6,136,1,2,170000,8,116i,5,3,630000,7,0,1,1
1,1,2,1,2.5,218,1,2,279898,17,525i,4,3,530000,13,1,1,1
2,3,2,2,3.0,286,1,1,235632,12,35d,5,3,1070000,10,0,1,1
8,2,2,1,4.0,420,1,2,112000,12,кабриолет,2,1,1700000,11,0,1,3
2,8,2,2,3.0,231,1,2,182000,20,внедорожник,5,3,349000,19,0,1,1
1,1,2,1,2.0,177,1,1,282000,14,320d,4,1,449000,12,1,1,1
2,6,2,2,3.0,340,1,2,1619,1,40i,5,1,6420141,0,0,1,1
2,1,2,2,3.0,249,1,1,1613,1,30d,5,1,7070701,0,0,1,1
2,1,2,2,3.0,258,1,2,93939,9,28i,5,3,1000000,8,0,1,1
1,14,2,1,2.5,192,1,2,252588,19,525i,4,3,305000,18,0,1,1
2,1,2,2,3.0,235,1,1,283000,13,внедорожник,5,3,940000,11,0,1,1
2,1,2,2,3.0,235,1,1,198790,13,30d,5,3,1069200,10,0,1,1
1,3,2,1,2.5,192,1,2,330000,17,525i,4,3,400000,15,0,1,1
4,2,2,2,3.0,320,1,2,68700,8,640i,2,1,1700000,5,0,1,1
2,6,2,2,4.4,575,1,2,50000,5,внедорожник,5,2,4500000,3,1,1,1
2,4,2,2,3.0,306,1,2,25000,7,35i,5,1,2000000,6,0,1,1
1,5,2,1,2.2,170,1,2,310635,19,520i,4,2,375000,16,0,1,1
2,1,2,2,3.0,204,1,1,214700,16,30d,5,2,570000,15,0,1,1
2,1,2,2,2.0,190,1,1,86000,5,20d,5,2,1550000,5,0,1,1
2,5,2,2,2.0,184,1,2,100000,5,20i,5,2,2150000,2,1,1,1
3,3,2,2,2.0,249,1,2,9136,2,430i,5,1,2750000,0,0,1,1
2,2,2,2,2.0,192,1,2,5646,4,20i,5,1,2077600,0,0,1,1
1,1,2,2,4.4,407,1,2,209177,11,750Li,4,1,745000,9,0,1,1
2,1,2,2,3.0,235,1,1,167809,13,30d,5,3,1030000,11,0,1,1
1,11,2,1,2.3,143,1,2,200000,44,323i,2,1,650000,38,1,1,2
1,6,2,2,3.0,249,1,1,30000,3,530d,4,2,3500000,1,0,1,1
1,2,3,1,2.0,184,1,2,73700,6,520i,4,2,1330000,5,0,1,1
2,1,2,2,3.0,286,1,1,245000,13,35d,5,3,1100000,11,1,1,1
